"V1","V2","ID1","pi","nSNP"
"Mp3g23300.1","PTHR45914:SF7:TRANSCRIPTION FACTOR HEC3-RELATED; CDD:cd11454:bHLH_AtIND_like; SMART:SM00353:finulus; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF47459:HLH, helix-loop-helix DNA-binding domain; ProSiteProfiles:PS50888:Myc-type, basic helix-loop-helix (bHLH) domain profile.; G3DSA:4.10.280.10:HLH; Pfam:PF00010:Helix-loop-helix DNA-binding domain; PANTHER:PTHR45914:TRANSCRIPTION FACTOR HEC3-RELATED; GO:0046983:protein dimerization activity; MapolyID:Mapoly0024s0106; MPGENES:MpBHLH20:transcription factor, bHLH; MPGENES:MpBNB:transcription factor, bHLH","Mp3g23300",NA,NA
"Mp3g23310.1","KEGG:K03350:APC3, CDC27, anaphase-promoting complex subunit 3; KOG:KOG1126:DNA-binding cell division cycle control protein, [D]; ProSiteProfiles:PS50005:TPR repeat profile.; MobiDBLite:consensus disorder prediction; G3DSA:1.25.40.10; ProSiteProfiles:PS50293:TPR repeat region circular profile.; SUPERFAMILY:SSF48452:TPR-like; PANTHER:PTHR12558:CELL DIVISION CYCLE 16,23,27; Pfam:PF14559:Tetratricopeptide repeat; Pfam:PF00515:Tetratricopeptide repeat; Coils:Coil; SMART:SM00028:tpr_5; Pfam:PF12895:Anaphase-promoting complex, cyclosome, subunit 3; PTHR12558:SF25:CELL DIVISION CYCLE PROTEIN 27 HOMOLOG B-LIKE; GO:0005515:protein binding; MapolyID:Mapoly0024s0107","Mp3g23310",NA,NA
"Mp3g23310.2","KEGG:K03350:APC3, CDC27, anaphase-promoting complex subunit 3; KOG:KOG1126:DNA-binding cell division cycle control protein, [D]; Pfam:PF12895:Anaphase-promoting complex, cyclosome, subunit 3; SUPERFAMILY:SSF48452:TPR-like; ProSiteProfiles:PS50005:TPR repeat profile.; ProSiteProfiles:PS50293:TPR repeat region circular profile.; MobiDBLite:consensus disorder prediction; SMART:SM00028:tpr_5; G3DSA:1.25.40.10; Pfam:PF14559:Tetratricopeptide repeat; Pfam:PF00515:Tetratricopeptide repeat; Coils:Coil; PTHR12558:SF25:CELL DIVISION CYCLE PROTEIN 27 HOMOLOG B-LIKE; PANTHER:PTHR12558:CELL DIVISION CYCLE 16,23,27; GO:0005515:protein binding; MapolyID:Mapoly0024s0107","Mp3g23310",NA,NA
"Mp3g23310.3","KEGG:K03350:APC3, CDC27, anaphase-promoting complex subunit 3; KOG:KOG1126:DNA-binding cell division cycle control protein, [D]; SUPERFAMILY:SSF48452:TPR-like; G3DSA:1.25.40.10; ProSiteProfiles:PS50293:TPR repeat region circular profile.; ProSiteProfiles:PS50005:TPR repeat profile.; MobiDBLite:consensus disorder prediction; Pfam:PF12895:Anaphase-promoting complex, cyclosome, subunit 3; SMART:SM00028:tpr_5; Pfam:PF00515:Tetratricopeptide repeat; Coils:Coil; PANTHER:PTHR12558:CELL DIVISION CYCLE 16,23,27; Pfam:PF14559:Tetratricopeptide repeat; PTHR12558:SF25:CELL DIVISION CYCLE PROTEIN 27 HOMOLOG B-LIKE; GO:0005515:protein binding; MapolyID:Mapoly0024s0107","Mp3g23310",NA,NA
"Mp3g23310.4","KEGG:K03350:APC3, CDC27, anaphase-promoting complex subunit 3; KOG:KOG1126:DNA-binding cell division cycle control protein, [D]; G3DSA:1.25.40.10; ProSiteProfiles:PS50293:TPR repeat region circular profile.; PANTHER:PTHR12558:CELL DIVISION CYCLE 16,23,27; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF48452:TPR-like; ProSiteProfiles:PS50005:TPR repeat profile.; Coils:Coil; SMART:SM00028:tpr_5; PTHR12558:SF25:CELL DIVISION CYCLE PROTEIN 27 HOMOLOG B-LIKE; Pfam:PF14559:Tetratricopeptide repeat; Pfam:PF00515:Tetratricopeptide repeat; Pfam:PF12895:Anaphase-promoting complex, cyclosome, subunit 3; GO:0005515:protein binding; MapolyID:Mapoly0024s0107","Mp3g23310",NA,NA
"Mp3g23320.1","KEGG:K15201:GTP3C3, TFC4, general transcription factor 3C polypeptide 3 (transcription factor C subunit 4); KOG:KOG2076:RNA polymerase III transcription factor TFIIIC, [K]; MobiDBLite:consensus disorder prediction; G3DSA:1.25.40.10; SMART:SM00028:tpr_5; ProSiteProfiles:PS50005:TPR repeat profile.; PANTHER:PTHR23082:TRANSCRIPTION INITIATION FACTOR IIIC  TFIIIC , POLYPEPTIDE 3-RELATED; Coils:Coil; Pfam:PF13374:Tetratricopeptide repeat; Pfam:PF13432:Tetratricopeptide repeat; ProSiteProfiles:PS50293:TPR repeat region circular profile.; SUPERFAMILY:SSF48452:TPR-like; Pfam:PF14559:Tetratricopeptide repeat; GO:0005515:protein binding; GO:0006383:transcription by RNA polymerase III; MapolyID:Mapoly0024s0108","Mp3g23320","0.0004761900"," 2"
"Mp3g23320.2","KEGG:K15201:GTP3C3, TFC4, general transcription factor 3C polypeptide 3 (transcription factor C subunit 4); KOG:KOG2076:RNA polymerase III transcription factor TFIIIC, [K]; ProSiteProfiles:PS50293:TPR repeat region circular profile.; SMART:SM00028:tpr_5; ProSiteProfiles:PS50005:TPR repeat profile.; G3DSA:1.25.40.10; Pfam:PF13374:Tetratricopeptide repeat; MobiDBLite:consensus disorder prediction; Pfam:PF14559:Tetratricopeptide repeat; SUPERFAMILY:SSF48452:TPR-like; Coils:Coil; Pfam:PF13432:Tetratricopeptide repeat; PANTHER:PTHR23082:TRANSCRIPTION INITIATION FACTOR IIIC  TFIIIC , POLYPEPTIDE 3-RELATED; GO:0005515:protein binding; GO:0006383:transcription by RNA polymerase III; MapolyID:Mapoly0024s0108","Mp3g23320","0.0004761900"," 2"
"Mp3g23330.1","KOG:KOG4650:Predicted steroid reductase, [R]; Pfam:PF06966:Protein of unknown function (DUF1295); ProSiteProfiles:PS50244:Steroid 5-alpha reductase C-terminal domain profile.; PTHR32251:SF30:BNAA02G16510D PROTEIN; G3DSA:1.20.120.1630; PANTHER:PTHR32251:3-OXO-5-ALPHA-STEROID 4-DEHYDROGENASE; GO:0006629:lipid metabolic process; GO:0016627:oxidoreductase activity, acting on the CH-CH group of donors; MapolyID:Mapoly0024s0109","Mp3g23330",NA,NA
"Mp3g23340.1","KEGG:K05929:E2.1.1.103, NMT, phosphoethanolamine N-methyltransferase [EC:2.1.1.103]; KOG:KOG1269:SAM-dependent methyltransferases, [IR]; G3DSA:3.40.50.150:Vaccinia Virus protein VP39; CDD:cd02440:AdoMet_MTases; Pfam:PF13847:Methyltransferase domain; PTHR44307:SF16:PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE; SUPERFAMILY:SSF53335:S-adenosyl-L-methionine-dependent methyltransferases; PANTHER:PTHR44307:PHOSPHOETHANOLAMINE METHYLTRANSFERASE; Pfam:PF08241:Methyltransferase domain; ProSiteProfiles:PS51582:Phosphoethanolamine N-methyltransferase (PEAMT) (EC 2.1.1.103) family profile.; GO:0006656:phosphatidylcholine biosynthetic process; GO:0000234:phosphoethanolamine N-methyltransferase activity; GO:0008168:methyltransferase activity; MapolyID:Mapoly0024s0110","Mp3g23340",NA,NA
"Mp3g23350.1","PANTHER:PTHR15907:DUF614 FAMILY PROTEIN-RELATED; Pfam:PF04749:PLAC8 family; PTHR15907:SF177:PROTEIN PLANT CADMIUM RESISTANCE 10; TIGRFAM:TIGR01571:A_thal_Cys_rich: uncharacterized Cys-rich domain; MapolyID:Mapoly0024s0111","Mp3g23350",NA,NA
"Mp3g23360.1","KEGG:K14301:NUP107, NUP84, nuclear pore complex protein Nup107; KOG:KOG1964:Nuclear pore complex, rNup107 component (sc Nup84), [YU]; MobiDBLite:consensus disorder prediction; Pfam:PF04121:Nuclear pore protein 84 / 107; PANTHER:PTHR13003:NUP107-RELATED; G3DSA:1.10.3450.20; PTHR13003:SF3:NUCLEAR PORE COMPLEX PROTEIN; GO:0017056:structural constituent of nuclear pore; GO:0005643:nuclear pore; MapolyID:Mapoly0024s0112","Mp3g23360",NA,NA
"Mp3g23370.1","MapolyID:Mapoly0024s0113","Mp3g23370","0.0006190475"," 5"
"Mp3g23380.1","KEGG:K03921:FAB2, SSI2, desA1, acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]; CDD:cd01050:Acyl_ACP_Desat; G3DSA:1.10.620.20:Ribonucleotide Reductase; PANTHER:PTHR31155:ACYL- ACYL-CARRIER-PROTEIN  DESATURASE-RELATED; Pfam:PF03405:Fatty acid desaturase; SUPERFAMILY:SSF47240:Ferritin-like; PIRSF:PIRSF000346:Dlt9_acylACP_des; PTHR31155:SF36; GO:0006631:fatty acid metabolic process; GO:0045300:acyl-[acyl-carrier-protein] desaturase activity; GO:0016491:oxidoreductase activity; MapolyID:Mapoly0024s0114","Mp3g23380","0.0016190462","17"
"Mp3g23380.2","KEGG:K03921:FAB2, SSI2, desA1, acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]; CDD:cd01050:Acyl_ACP_Desat; G3DSA:1.10.620.20:Ribonucleotide Reductase; PANTHER:PTHR31155:ACYL- ACYL-CARRIER-PROTEIN  DESATURASE-RELATED; Pfam:PF03405:Fatty acid desaturase; SUPERFAMILY:SSF47240:Ferritin-like; PIRSF:PIRSF000346:Dlt9_acylACP_des; PTHR31155:SF36; GO:0006631:fatty acid metabolic process; GO:0045300:acyl-[acyl-carrier-protein] desaturase activity; GO:0016491:oxidoreductase activity; MapolyID:Mapoly0024s0114","Mp3g23380","0.0016190462","17"
"Mp3g23390.1","KOG:KOG0314:Predicted E3 ubiquitin ligase, [O]; G3DSA:4.10.60.10; G3DSA:3.30.40.10:Zinc/RING finger domain; MobiDBLite:consensus disorder prediction; Pfam:PF08783:DWNN domain; Pfam:PF13696:Zinc knuckle; SUPERFAMILY:SSF57850:RING/U-box; Coils:Coil; ProSiteProfiles:PS51282:DWNN domain profile.; SMART:SM00343:c2hcfinal6; CDD:cd16620:vRING-HC-C4C4_RBBP6; ProSiteProfiles:PS50158:Zinc finger CCHC-type profile.; PTHR15439:SF0:E3 UBIQUITIN-PROTEIN LIGASE RBBP6; SMART:SM01180:DWNN_2; PANTHER:PTHR15439:RETINOBLASTOMA-BINDING PROTEIN 6; G3DSA:3.10.20.90; SUPERFAMILY:SSF57756:Retrovirus zinc finger-like domains; GO:0006397:mRNA processing; GO:0061630:ubiquitin protein ligase activity; GO:0003676:nucleic acid binding; GO:0008270:zinc ion binding; GO:0016567:protein ubiquitination; MapolyID:Mapoly0024s0115","Mp3g23390",NA,NA
"Mp3g23400.1","KEGG:K03231:EEF1A, elongation factor 1-alpha; KOG:KOG0052:Translation elongation factor EF-1 alpha/Tu, [J]; Pfam:PF03144:Elongation factor Tu domain 2; G3DSA:3.40.50.300; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; CDD:cd01883:EF1_alpha; PRINTS:PR00315:GTP-binding elongation factor signature; TIGRFAM:TIGR00483:EF-1_alpha: translation elongation factor EF-1, subunit alpha; CDD:cd03705:EF1_alpha_III; ProSiteProfiles:PS51722:Translational (tr)-type guanine nucleotide-binding (G) domain profile.; PTHR23115:SF263:ELONGATION FACTOR 1-ALPHA-LIKE; SUPERFAMILY:SSF50465:EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Hamap:MF_00118_A:Elongation factor Tu [tuf].; G3DSA:2.40.30.10:Translation factors; PANTHER:PTHR23115:TRANSLATION FACTOR; SUPERFAMILY:SSF50447:Translation proteins; Pfam:PF03143:Elongation factor Tu C-terminal domain; Pfam:PF00009:Elongation factor Tu GTP binding domain; ProSitePatterns:PS00301:Translational (tr)-type guanine nucleotide-binding (G) domain signature.; CDD:cd03693:EF1_alpha_II; GO:0006414:translational elongation; GO:0003746:translation elongation factor activity; GO:0003924:GTPase activity; GO:0005525:GTP binding; MapolyID:Mapoly0024s0116","Mp3g23400","0.0008888880"," 6"
"Mp3g23400.2","KEGG:K03231:EEF1A, elongation factor 1-alpha; KOG:KOG0052:Translation elongation factor EF-1 alpha/Tu, [J]; Pfam:PF03144:Elongation factor Tu domain 2; G3DSA:3.40.50.300; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; CDD:cd01883:EF1_alpha; PRINTS:PR00315:GTP-binding elongation factor signature; TIGRFAM:TIGR00483:EF-1_alpha: translation elongation factor EF-1, subunit alpha; CDD:cd03705:EF1_alpha_III; ProSiteProfiles:PS51722:Translational (tr)-type guanine nucleotide-binding (G) domain profile.; PTHR23115:SF263:ELONGATION FACTOR 1-ALPHA-LIKE; SUPERFAMILY:SSF50465:EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Hamap:MF_00118_A:Elongation factor Tu [tuf].; G3DSA:2.40.30.10:Translation factors; PANTHER:PTHR23115:TRANSLATION FACTOR; SUPERFAMILY:SSF50447:Translation proteins; Pfam:PF03143:Elongation factor Tu C-terminal domain; Pfam:PF00009:Elongation factor Tu GTP binding domain; ProSitePatterns:PS00301:Translational (tr)-type guanine nucleotide-binding (G) domain signature.; CDD:cd03693:EF1_alpha_II; GO:0006414:translational elongation; GO:0003746:translation elongation factor activity; GO:0003924:GTPase activity; GO:0005525:GTP binding; MapolyID:Mapoly0024s0116","Mp3g23400","0.0008888880"," 6"
"Mp3g23410.1","PANTHER:PTHR36398:PLASMA MEMBRANE FUSION PROTEIN; MapolyID:Mapoly0024s0117","Mp3g23410",NA,NA
"Mp3g23420.1","PANTHER:PTHR36394:OS01G0277700 PROTEIN; MapolyID:Mapoly0024s0118","Mp3g23420","0.0002857140"," 1"
"Mp3g23430.1","MapolyID:Mapoly0024s0119","Mp3g23430",NA,NA
"Mp3g23440.1","KOG:KOG1984:Vesicle coat complex COPII, subunit SFB3, C-term missing, [U]; SUPERFAMILY:SSF57667:beta-beta-alpha zinc fingers; MobiDBLite:consensus disorder prediction; ProSitePatterns:PS00028:Zinc finger C2H2 type domain signature.; PANTHER:PTHR46353:ZINC FINGER PROTEIN 5; G3DSA:3.30.160.60:Classic Zinc Finger; Pfam:PF13912:C2H2-type zinc finger; ProSiteProfiles:PS50157:Zinc finger C2H2 type domain profile.; PTHR46353:SF5:ZINC FINGER PROTEIN 5; GO:0010090:trichome morphogenesis; MapolyID:Mapoly0024s0120","Mp3g23440","0.0014766100"," 4"
"Mp3g23450.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0024s0121","Mp3g23450","0.0006429725"," 4"
"Mp3g23460.1","KEGG:K13206:CCDC55, coiled-coil domain-containing protein 55; KOG:KOG2117:Uncharacterized conserved protein, C-term missing, [S]; PTHR30060:SF0:COILED-COIL PROTEIN (DUF2040)-RELATED; MobiDBLite:consensus disorder prediction; Pfam:PF09745:Coiled-coil domain-containing protein 55 (DUF2040); PANTHER:PTHR30060:INNER MEMBRANE PROTEIN; MapolyID:Mapoly0024s0122","Mp3g23460",NA,NA
"Mp3g23470.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0024s0123","Mp3g23470","0.0011428600"," 2"
"Mp3g23480.1","KEGG:K10357:MYO5, myosin V; KOG:KOG0160:Myosin class V heavy chain, [Z]; G3DSA:1.20.120.720; PANTHER:PTHR13140:MYOSIN; Pfam:PF00063:Myosin head (motor domain); MobiDBLite:consensus disorder prediction; PRINTS:PR00193:Myosin heavy chain signature; ProSiteProfiles:PS51456:Myosin motor domain profile.; PTHR13140:SF810:MYOSIN-2 ISOFORM X1; G3DSA:1.20.58.530; Coils:Coil; ProSiteProfiles:PS50096:IQ motif profile.; G3DSA:1.20.5.190; SMART:SM00015:iq_5; G3DSA:3.30.70.3240; SMART:SM00242:MYSc_2a; G3DSA:2.30.30.360:Myosin S1 fragment; CDD:cd01383:MYSc_Myo8; Pfam:PF00612:IQ calmodulin-binding motif; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; G3DSA:3.40.850.10:Kinesin; GO:0051015:actin filament binding; GO:0016459:myosin complex; GO:0005524:ATP binding; GO:0003774:motor activity; GO:0005515:protein binding; MapolyID:Mapoly0024s0124","Mp3g23480","0.0004354323"," 9"
"Mp3g23490.1","KEGG:K23878:AAGAB, alpha- and gamma-adaptin-binding protein p34; KOG:KOG4273:Uncharacterized conserved protein, [S]; MobiDBLite:consensus disorder prediction; PANTHER:PTHR14659:ALPHA- AND GAMMA-ADAPTIN-BINDING PROTEIN P34; Pfam:PF10199:Alpha and gamma adaptin binding protein p34; Pfam:PF00071:Ras family; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; SMART:SM00175:rab_sub_5; GO:0005525:GTP binding; GO:0003924:GTPase activity; MapolyID:Mapoly0024s0125","Mp3g23490","0.0022952962","24"
