"CHROM","source","type","start","end","score","strand","phase","attributes","ID","PI","NUMBERofSNPs"
"chr1","feature","gene",61674,63680,".","-",".","ID=Mp1g00035h;Name=Mp1g00035h;locus_type=rRNA","Mp1g00035h",NA,NA
"chr1","feature","gene",65480,65637,".","-",".","ID=Mp1g00035i;Name=Mp1g00035i;locus_type=rRNA","Mp1g00035i",NA,NA
"chr1","feature","gene",72536,74355,".","+",".","ID=Mp1g00035j;Name=Mp1g00035j;locus_type=rRNA","Mp1g00035j",0.00047619,1
"chr1","feature","gene",75505,75662,".","+",".","ID=Mp1g00035k;Name=Mp1g00035k;locus_type=rRNA","Mp1g00035k",NA,NA
"chr1","feature","gene",77462,79468,".","+",".","ID=Mp1g00035l;Name=Mp1g00035l;locus_type=rRNA","Mp1g00035l",0.00047619,1
"chr1","feature","gene",81409,81527,".","+",".","ID=Mp1g00035m;Name=Mp1g00035m;locus_type=rRNA","Mp1g00035m",NA,NA
"chr1","feature","gene",100319,100766,".","-",".","ID=Mp1g00045a;Name=Mp1g00045a;locus_type=rRNA;note=partial","Mp1g00045a",NA,NA
"chr1","feature","gene",102566,102723,".","-",".","ID=Mp1g00045b;Name=Mp1g00045b;locus_type=rRNA","Mp1g00045b",NA,NA
"chr1","feature","gene",103869,105687,".","-",".","ID=Mp1g00045c;Name=Mp1g00045c;locus_type=rRNA","Mp1g00045c",NA,NA
"chr1","feature","gene",114259,114377,".","-",".","ID=Mp1g00045d;Name=Mp1g00045d;locus_type=rRNA","Mp1g00045d",NA,NA
"chr1","feature","gene",116316,118326,".","-",".","ID=Mp1g00045e;Name=Mp1g00045e;locus_type=rRNA","Mp1g00045e",NA,NA
"chr1","feature","gene",120125,120282,".","-",".","ID=Mp1g00045f;Name=Mp1g00045f;locus_type=rRNA","Mp1g00045f",NA,NA
"chr1","feature","gene",121431,123250,".","-",".","ID=Mp1g00045g;Name=Mp1g00045g;locus_type=rRNA","Mp1g00045g",NA,NA
"chr1","feature","gene",129951,130069,".","-",".","ID=Mp1g00055a;Name=Mp1g00055a;locus_type=rRNA","Mp1g00055a",0.00047619,1
"chr1","feature","gene",131993,134001,".","-",".","ID=Mp1g00055b;Name=Mp1g00055b;locus_type=rRNA","Mp1g00055b",NA,NA
"chr1","feature","gene",135799,135956,".","-",".","ID=Mp1g00055c;Name=Mp1g00055c;locus_type=rRNA","Mp1g00055c",NA,NA
"chr1","feature","gene",137102,138921,".","-",".","ID=Mp1g00055d;Name=Mp1g00055d;locus_type=rRNA","Mp1g00055d",NA,NA
"chr1","feature","gene",145286,145728,".","-",".","ID=Mp1g00055e;Name=Mp1g00055e;locus_type=rRNA;note=partial","Mp1g00055e",NA,NA
"chr1","feature","gene",147538,147695,".","-",".","ID=Mp1g00055f;Name=Mp1g00055f;locus_type=rRNA","Mp1g00055f",NA,NA
"chr1","feature","gene",148842,150439,".","-",".","ID=Mp1g00055g;Name=Mp1g00055g;locus_type=rRNA;note=partial","Mp1g00055g",0.000571429,2
"chr1","feature","gene",150940,152838,".","-",".","ID=Mp1g00055h;Name=Mp1g00055h;locus_type=rRNA;note=partial","Mp1g00055h",NA,NA
"chr1","feature","gene",154637,154794,".","-",".","ID=Mp1g00055i;Name=Mp1g00055i;locus_type=rRNA","Mp1g00055i",NA,NA
"chr1","feature","gene",155943,157762,".","-",".","ID=Mp1g00055j;Name=Mp1g00055j;locus_type=rRNA","Mp1g00055j",NA,NA
"chr1","feature","gene",162007,163825,".","+",".","ID=Mp1g00055k;Name=Mp1g00055k;locus_type=rRNA","Mp1g00055k",NA,NA
"chr1","feature","gene",232548,238180,".","+",".","ID=Mp1g00070;MapolyID=Mapoly0103s0079;Name=Mp1g00070","Mp1g00070",0.0008255865,17
"chr1","feature","gene",238796,241187,".","+",".","ID=Mp1g00080;MapolyID=Mapoly0103s0078;Name=Mp1g00080","Mp1g00080",0.00078588875,9
"chr1","feature","gene",245204,253678,".","-",".","ID=Mp1g00090;MapolyID=Mapoly0103s0077;Name=Mp1g00090","Mp1g00090",0.000706398,11
"chr1","feature","gene",254510,261695,".","-",".","ID=Mp1g00100;MapolyID=Mapoly0103s0076;Name=Mp1g00100","Mp1g00100",0.0007142994,10
"chr1","feature","gene",264950,267050,".","+",".","ID=Mp1g00110;MapolyID=Mapoly0103s0075;Name=Mp1g00110","Mp1g00110",0.001285715,7
"chr1","feature","gene",272861,276002,".","-",".","ID=Mp1g00120;MapolyID=Mapoly0103s0074;Name=Mp1g00120","Mp1g00120",0.0006190622,9
"chr1","feature","gene",290530,292179,".","-",".","ID=Mp1g00130;MapolyID=Mapoly0103s0073;Name=Mp1g00130","Mp1g00130",0.00123809466666667,10
"chr1","feature","gene",293905,301908,".","-",".","ID=Mp1g00140;MapolyID=Mapoly0103s0072;Name=Mp1g00140","Mp1g00140",0.000507981833333333,8
"chr1","feature","gene",306455,311608,".","-",".","ID=Mp1g00160;MapolyID=Mapoly0103s0070;Name=Mp1g00160","Mp1g00160",0.000904761,10
"chr1","feature","gene",326974,330199,".","+",".","ID=Mp1g00170;MapolyID=Mapoly0103s0069;Name=Mp1g00170","Mp1g00170",0.0010190796,16
"chr1","feature","gene",329035,336836,".","-",".","ID=Mp1g00180;MapolyID=Mapoly0103s0068;Name=Mp1g00180","Mp1g00180",0.000904762,17
"chr1","feature","gene",340744,344763,".","+",".","ID=Mp1g00190;MapolyID=Mapoly0103s0067;Name=Mp1g00190","Mp1g00190",0.0016668808,25
"chr1","feature","gene",355584,356441,".","-",".","ID=Mp1g00200;MapolyID=Mapoly0103s0066;Name=Mp1g00200","Mp1g00200",0.00140499,7
"chr1","feature","gene",357834,362547,".","+",".","ID=Mp1g00210;MapolyID=Mapoly0103s0065;Name=Mp1g00210","Mp1g00210",0.0016195972,21
"chr1","feature","gene",366418,372541,".","-",".","ID=Mp1g00220;MapolyID=Mapoly0103s0064;Name=Mp1g00220","Mp1g00220",0.00243579714285714,39
"chr1","feature","gene",377786,386098,".","+",".","ID=Mp1g00230;MapolyID=Mapoly0103s0063;Name=Mp1g00230","Mp1g00230",0.0022910455,61
"chr1","feature","gene",387516,389492,".","+",".","ID=Mp1g00240;MapolyID=Mapoly0103s0062;Name=Mp1g00240","Mp1g00240",0.00242857,12
"chr1","feature","gene",401034,404722,".","+",".","ID=Mp1g00250;MapolyID=Mapoly0103s0061;Name=Mp1g00250","Mp1g00250",0.0016904775,14
"chr1","feature","gene",423220,424042,".","+",".","ID=Mp1g00260;MapolyID=Mapoly0103s0060;Name=Mp1g00260","Mp1g00260",0.0012857155,7
"chr1","feature","gene",423869,428350,".","+",".","ID=Mp1g00270;MapolyID=Mapoly0103s0059;Name=Mp1g00270","Mp1g00270",0.00130158716666667,20
"chr1","feature","gene",429811,432222,".","+",".","ID=Mp1g00280;Name=Mp1g00280","Mp1g00280",0.0028695425,34
"chr1","feature","gene",434801,442223,".","+",".","ID=Mp1g00290;MapolyID=Mapoly0103s0058;Name=Mp1g00290","Mp1g00290",0.000941862444444444,24
"chr1","feature","gene",442919,444765,".","+",".","ID=Mp1g00300;MapolyID=Mapoly0103s0057;Name=Mp1g00300","Mp1g00300",0.00215873,15
"chr1","feature","gene",444766,448394,".","+",".","ID=Mp1g00310;MapolyID=Mapoly0103s0056;Name=Mp1g00310","Mp1g00310",0.003343006,36
"chr1","feature","gene",457952,461638,".","+",".","ID=Mp1g00320;MapolyID=Mapoly0103s0055;Name=Mp1g00320","Mp1g00320",0.001904855,22
"chr1","feature","gene",461402,465478,".","-",".","ID=Mp1g00330;MapolyID=Mapoly0103s0054;Name=Mp1g00330","Mp1g00330",0.00069047725,7
"chr1","feature","gene",466858,475520,".","-",".","ID=Mp1g00340;MapolyID=Mapoly0103s0053;Name=Mp1g00340","Mp1g00340",NA,NA
"chr1","feature","gene",480141,483146,".","+",".","ID=Mp1g00350;MapolyID=Mapoly0103s0052;Name=Mp1g00350","Mp1g00350",0.0017978125,17
"chr1","feature","gene",483653,487146,".","-",".","ID=Mp1g00360;MapolyID=Mapoly0103s0051;Name=Mp1g00360","Mp1g00360",0.001238095,13
"chr1","feature","gene",489706,497268,".","-",".","ID=Mp1g00370;MapolyID=Mapoly0103s0050;Name=Mp1g00370","Mp1g00370",0.00260165125,49
"chr1","feature","gene",507792,510585,".","+",".","ID=Mp1g00380;MapolyID=Mapoly0103s0049;Name=Mp1g00380","Mp1g00380",0.00297776575,31
"chr1","feature","gene",511411,513087,".","+",".","ID=Mp1g00390;MapolyID=Mapoly0103s0048;Name=Mp1g00390","Mp1g00390",0.00187301766666667,13
"chr1","feature","gene",515455,519546,".","-",".","ID=Mp1g00400;MapolyID=Mapoly0103s0047;Name=Mp1g00400","Mp1g00400",0.0017050326,19
"chr1","feature","gene",521894,525335,".","-",".","ID=Mp1g00410;MapolyID=Mapoly0103s0046;Name=Mp1g00410","Mp1g00410",0.003343294,37
"chr1","feature","gene",526204,529634,".","-",".","ID=Mp1g00420;MapolyID=Mapoly0103s0045;Name=Mp1g00420","Mp1g00420",0.0026077825,24
"chr1","feature","gene",531467,534441,".","-",".","ID=Mp1g00430;MapolyID=Mapoly0103s0044;Name=Mp1g00430","Mp1g00430",0.00210751825,19
"chr1","feature","gene",541644,544553,".","-",".","ID=Mp1g00440;MapolyID=Mapoly0103s0043;Name=Mp1g00440","Mp1g00440",0.0011428565,14
"chr1","feature","gene",551585,553055,".","+",".","ID=Mp1g00450;MapolyID=Mapoly0103s0042;Name=Mp1g00450","Mp1g00450",0.00187378666666667,16
"chr1","feature","gene",561607,564010,".","+",".","ID=Mp1g00460;MapolyID=Mapoly0103s0041;Name=Mp1g00460","Mp1g00460",0.00367919325,36
"chr1","feature","gene",565967,568017,".","+",".","ID=Mp1g00470;MapolyID=Mapoly0103s0040;Name=Mp1g00470","Mp1g00470",0.005943775,51
"chr1","feature","gene",578946,583689,".","+",".","ID=Mp1g00480;MapolyID=Mapoly0103s0039;Name=Mp1g00480","Mp1g00480",0.00173895566666667,25
"chr1","feature","gene",587149,589656,".","-",".","ID=Mp1g00490;MapolyID=Mapoly0103s0038;Name=Mp1g00490","Mp1g00490",0.00138110333333333,11
"chr1","feature","gene",596944,598069,".","+",".","ID=Mp1g00500;MapolyID=Mapoly0103s0037;Name=Mp1g00500","Mp1g00500",0.002539907,18
"chr1","feature","gene",607990,610177,".","-",".","ID=Mp1g00510;MapolyID=Mapoly0103s0036;Name=Mp1g00510","Mp1g00510",0.002083555,22
"chr1","feature","gene",619632,622747,".","-",".","ID=Mp1g00530;MapolyID=Mapoly0103s0034;Name=Mp1g00530","Mp1g00530",0.00282195225,24
"chr1","feature","gene",631306,632748,".","-",".","ID=Mp1g00540;MapolyID=Mapoly0103s0033;Name=Mp1g00540","Mp1g00540",0.002500715,14
"chr1","feature","gene",633799,640088,".","-",".","ID=Mp1g00550;MapolyID=Mapoly0103s0032;Name=Mp1g00550","Mp1g00550",0.001607142625,40
"chr1","feature","gene",642154,647568,".","+",".","ID=Mp1g00560;MapolyID=Mapoly0103s0031;Name=Mp1g00560","Mp1g00560",0.00157945833333333,24
"chr1","feature","gene",658185,659241,".","-",".","ID=Mp1g00570;MapolyID=Mapoly0103s0030;Name=Mp1g00570","Mp1g00570",0.00185714,11
"chr1","feature","gene",671825,675291,".","-",".","ID=Mp1g00580;MapolyID=Mapoly0103s0029;Name=Mp1g00580","Mp1g00580",0.0019811758,27
"chr1","feature","gene",682517,683075,".","+",".","ID=Mp1g00590;MapolyID=Mapoly0103s0028;Name=Mp1g00590","Mp1g00590",0.00219048,10
"chr1","feature","gene",682897,689602,".","+",".","ID=Mp1g00600;MapolyID=Mapoly0103s0027;Name=Mp1g00600","Mp1g00600",0.00218463625,44
"chr1","feature","gene",689990,690832,".","+",".","ID=Mp1g00610;MapolyID=Mapoly0103s0026;Name=Mp1g00610","Mp1g00610",0.002333335,12
"chr1","feature","gene",699802,703203,".","+",".","ID=Mp1g00620;MapolyID=Mapoly0103s0025;Name=Mp1g00620","Mp1g00620",0.00219076,27
"chr1","feature","gene",704649,708058,".","+",".","ID=Mp1g00630;MapolyID=Mapoly0103s0024;Name=Mp1g00630","Mp1g00630",0.003581142,41
"chr1","feature","gene",714512,721860,".","+",".","ID=Mp1g00640;MapolyID=Mapoly0103s0023;Name=Mp1g00640","Mp1g00640",0.0028100975,53
"chr1","feature","gene",728501,731154,".","+",".","ID=Mp1g00650;MapolyID=Mapoly0103s0022;Name=Mp1g00650","Mp1g00650",0.0036318,38
"chr1","feature","gene",731249,736277,".","-",".","ID=Mp1g00660;MapolyID=Mapoly0103s0020;Name=Mp1g00660","Mp1g00660",0.00369938833333333,52
"chr1","feature","gene",734553,734633,".","+",".","ID=Mp1g00673a;Name=Mp1g00673a;locus_type=pre_trna;note=aa:Leu%2Canticodon:cag;product=tRNA-Leu","Mp1g00673a",0.00295238,7
"chr1","feature","gene",739050,739217,".","-",".","ID=Mp1g00675;Name=Mp1g00675;locus_type=pre-miRNA","Mp1g00675",0.007002,18
"chr1","feature","gene",740924,745086,".","-",".","ID=Mp1g00680;MapolyID=Mapoly0103s0019;Name=Mp1g00680","Mp1g00680",0.00489095166666667,74
"chr1","feature","gene",751207,755063,".","+",".","ID=Mp1g00690;MapolyID=Mapoly0103s0018;Name=Mp1g00690","Mp1g00690",0.002285718,29
"chr1","feature","gene",764121,767293,".","+",".","ID=Mp1g00700;MapolyID=Mapoly0103s0017;Name=Mp1g00700","Mp1g00700",0.0011428565,6
"chr1","feature","gene",771459,774012,".","-",".","ID=Mp1g00710;MapolyID=Mapoly0103s0016;Name=Mp1g00710","Mp1g00710",0.00108346575,11
"chr1","feature","gene",774549,778059,".","-",".","ID=Mp1g00720;MapolyID=Mapoly0103s0015;Name=Mp1g00720","Mp1g00720",0.0010954974,17
"chr1","feature","gene",779041,781089,".","-",".","ID=Mp1g00730;MapolyID=Mapoly0103s0014;Name=Mp1g00730","Mp1g00730",0.000920634333333333,8
"chr1","feature","gene",794020,794355,".","+",".","ID=Mp1g00740;MapolyID=Mapoly1555s0001;Name=Mp1g00740","Mp1g00740",NA,NA
"chr1","feature","gene",794654,795454,".","+",".","ID=Mp1g00750;MapolyID=Mapoly4043s0001;Name=Mp1g00750","Mp1g00750",0.000571429,2
"chr1","feature","gene",825832,830976,".","-",".","ID=Mp1g00760;MapolyID=Mapoly0103s0013;Name=Mp1g00760","Mp1g00760",0.0005714285,6
"chr1","feature","gene",833612,837027,".","-",".","ID=Mp1g00770;MapolyID=Mapoly0103s0012;Name=Mp1g00770","Mp1g00770",0.000698413,6
"chr1","feature","gene",834968,835075,".","-",".","ID=Mp1g00775;Name=Mp1g00775;locus_type=pre-miRNA","Mp1g00775",0.000761905,4
"chr1","feature","gene",841118,841351,".","-",".","ID=Mp1g00780;MapolyID=Mapoly0103s0011;Name=Mp1g00780","Mp1g00780",0.000761905,2
"chr1","feature","gene",845296,846961,".","+",".","ID=Mp1g00790;MapolyID=Mapoly0103s0010;Name=Mp1g00790","Mp1g00790",0.000761905,2
"chr1","feature","gene",857542,859403,".","+",".","ID=Mp1g00800;MapolyID=Mapoly0103s0009;Name=Mp1g00800","Mp1g00800",0.002714285,10
"chr1","feature","gene",859731,862697,".","-",".","ID=Mp1g00810;MapolyID=Mapoly0103s0008;Name=Mp1g00810","Mp1g00810",0.00130158633333333,8
"chr1","feature","gene",867199,874443,".","-",".","ID=Mp1g00820;MapolyID=Mapoly0103s0007;Name=Mp1g00820","Mp1g00820",0.001375330875,33
"chr1","feature","gene",874484,880653,".","+",".","ID=Mp1g00830;MapolyID=Mapoly0103s0006;Name=Mp1g00830","Mp1g00830",0.00132671185714286,30
"chr1","feature","gene",883052,892724,".","+",".","ID=Mp1g00840;MapolyID=Mapoly0103s0005;Name=Mp1g00840","Mp1g00840",0.00124881122222222,24
"chr1","feature","gene",898378,907978,".","+",".","ID=Mp1g00850;MapolyID=Mapoly0103s0004;Name=Mp1g00850","Mp1g00850",0.0013001508,33
"chr1","feature","gene",937126,937488,".","+",".","ID=Mp1g00870;MapolyID=Mapoly0103s0002;Name=Mp1g00870","Mp1g00870",0.000523959,2
"chr1","feature","gene",937343,947255,".","+",".","ID=Mp1g00880;MapolyID=Mapoly0103s0001;Name=Mp1g00880","Mp1g00880",0.0011336249,38
"chr1","feature","gene",951040,951503,".","-",".","ID=Mp1g00890;Name=Mp1g00890","Mp1g00890",0.00180952,5
"chr1","feature","gene",963478,966128,".","-",".","ID=Mp1g00910;MapolyID=Mapoly0029s0155;Name=Mp1g00910","Mp1g00910",0.0020120995,27
"chr1","feature","gene",997691,1000652,".","-",".","ID=Mp1g00920;MapolyID=Mapoly0029s0154;Name=Mp1g00920","Mp1g00920",0.0024763275,29
"chr1","feature","gene",1022677,1027237,".","-",".","ID=Mp1g00930;MapolyID=Mapoly0029s0153;Name=Mp1g00930","Mp1g00930",0.00249260333333333,39
"chr1","feature","gene",1029034,1041874,".","-",".","ID=Mp1g00940;MapolyID=Mapoly0029s0152;Name=Mp1g00940","Mp1g00940",0.00387193538461538,104
"chr1","feature","gene",1043236,1048972,".","+",".","ID=Mp1g00950;MapolyID=Mapoly0029s0151;Name=Mp1g00950","Mp1g00950",0.00461904666666667,70
"chr1","feature","gene",1059259,1061842,".","+",".","ID=Mp1g00960;MapolyID=Mapoly0029s0150;Name=Mp1g00960","Mp1g00960",0.00369883433333333,24
"chr1","feature","gene",1063065,1065158,".","+",".","ID=Mp1g00970;MapolyID=Mapoly0029s0149;Name=Mp1g00970","Mp1g00970",0.00227084333333333,16
"chr1","feature","gene",1068814,1071371,".","-",".","ID=Mp1g00980;MapolyID=Mapoly0029s0148;Name=Mp1g00980","Mp1g00980",0.0040716375,38
"chr1","feature","gene",1072677,1076155,".","-",".","ID=Mp1g00990;MapolyID=Mapoly0029s0147;Name=Mp1g00990","Mp1g00990",0.002666808,33
"chr1","feature","gene",1115523,1118871,".","-",".","ID=Mp1g01000;MapolyID=Mapoly0029s0146;Name=Mp1g01000","Mp1g01000",0.00110719875,12
"chr1","feature","gene",1126569,1129566,".","-",".","ID=Mp1g01010;MapolyID=Mapoly0029s0145;Name=Mp1g01010","Mp1g01010",0.00154761975,16
"chr1","feature","gene",1132398,1136858,".","+",".","ID=Mp1g01020;MapolyID=Mapoly0029s0144;Name=Mp1g01020","Mp1g01020",0.0017907858,26
"chr1","feature","gene",1139153,1142415,".","+",".","ID=Mp1g01030;MapolyID=Mapoly0029s0143;Name=Mp1g01030","Mp1g01030",0.00375056,35
"chr1","feature","gene",1149319,1154570,".","+",".","ID=Mp1g01040;MapolyID=Mapoly0029s0142;Name=Mp1g01040","Mp1g01040",0.00180952416666667,28
"chr1","feature","gene",1185752,1187221,".","+",".","ID=Mp1g01050;MapolyID=Mapoly0029s0141;Name=Mp1g01050","Mp1g01050",0.00238117666666667,17
"chr1","feature","gene",1188362,1188931,".","-",".","ID=Mp1g01060;MapolyID=Mapoly0029s0140;Name=Mp1g01060","Mp1g01060",0.00352381,7
"chr1","feature","gene",1193737,1194162,".","-",".","ID=Mp1g01070;MapolyID=Mapoly0029s0139;Name=Mp1g01070","Mp1g01070",0.000904762,5
"chr1","feature","gene",1197009,1205511,".","-",".","ID=Mp1g01080;MapolyID=Mapoly0029s0138;Name=Mp1g01080","Mp1g01080",0.00155101971428571,21
"chr1","feature","gene",1208542,1213903,".","+",".","ID=Mp1g01090;MapolyID=Mapoly0029s0137;Name=Mp1g01090","Mp1g01090",0.0011190595,16
"chr1","feature","gene",1235811,1241404,".","+",".","ID=Mp1g01100;MapolyID=Mapoly0029s0136;Name=Mp1g01100","Mp1g01100",0.001714577,29
"chr1","feature","gene",1279114,1283588,".","+",".","ID=Mp1g01110;MapolyID=Mapoly0029s0135;Name=Mp1g01110","Mp1g01110",0.0005952655,5
"chr1","feature","gene",1292252,1294805,".","+",".","ID=Mp1g01120;MapolyID=Mapoly0029s0134;Name=Mp1g01120","Mp1g01120",0.00114310666666667,8
"chr1","feature","gene",1295097,1303632,".","-",".","ID=Mp1g01130;MapolyID=Mapoly0029s0133;Name=Mp1g01130","Mp1g01130",0.000503467428571429,9
"chr1","feature","gene",1327935,1330379,".","+",".","ID=Mp1g01135;Name=Mp1g01135","Mp1g01135",0.001773986,17
"chr1","feature","gene",1331066,1340026,".","+",".","ID=Mp1g01140;MapolyID=Mapoly0029s0132;Name=Mp1g01140","Mp1g01140",0.0021288281,50
"chr1","feature","gene",1343907,1345708,".","-",".","ID=Mp1g01150;MapolyID=Mapoly0029s0131;Name=Mp1g01150","Mp1g01150",0.00338177,26
"chr1","feature","gene",1353946,1362731,".","+",".","ID=Mp1g01160;MapolyID=Mapoly0029s0130;Name=Mp1g01160","Mp1g01160",0.00114817777777778,25
"chr1","feature","gene",1370144,1373707,".","+",".","ID=Mp1g01170;MapolyID=Mapoly0029s0129;Name=Mp1g01170","Mp1g01170",0.000916741,11
"chr1","feature","gene",1373785,1376231,".","-",".","ID=Mp1g01180;MapolyID=Mapoly0029s0128;Name=Mp1g01180","Mp1g01180",0.00096442675,12
"chr1","feature","gene",1378871,1381054,".","-",".","ID=Mp1g01190;MapolyID=Mapoly0029s0127;Name=Mp1g01190","Mp1g01190",0.0017143875,18
"chr1","feature","gene",1389225,1404499,".","+",".","ID=Mp1g01200;MapolyID=Mapoly0029s0126;Name=Mp1g01200","Mp1g01200",0.00135241453333333,53
"chr1","feature","gene",1424163,1427081,".","+",".","ID=Mp1g01210;MapolyID=Mapoly0029s0125;Name=Mp1g01210","Mp1g01210",0.00278920825,31
"chr1","feature","gene",1431043,1432618,".","-",".","ID=Mp1g01220;MapolyID=Mapoly0029s0124;Name=Mp1g01220","Mp1g01220",0.0015238115,7
"chr1","feature","gene",1431089,1432610,".","+",".","ID=Mp1g01230;Name=Mp1g01230","Mp1g01230",0.0015238115,7
"chr1","feature","gene",1433434,1436676,".","-",".","ID=Mp1g01240;MapolyID=Mapoly0029s0123;Name=Mp1g01240","Mp1g01240",0.00217959,26
"chr1","feature","gene",1437060,1441744,".","-",".","ID=Mp1g01250;MapolyID=Mapoly0029s0122;Name=Mp1g01250","Mp1g01250",0.0016,22
"chr1","feature","gene",1445021,1447545,".","+",".","ID=Mp1g01260;MapolyID=Mapoly0029s0121;Name=Mp1g01260","Mp1g01260",0.00307936666666667,21
"chr1","feature","gene",1447913,1451760,".","+",".","ID=Mp1g01270;MapolyID=Mapoly0029s0120;Name=Mp1g01270","Mp1g01270",0.0029294725,27
"chr1","feature","gene",1467159,1470309,".","+",".","ID=Mp1g01280;MapolyID=Mapoly0029s0119;Name=Mp1g01280","Mp1g01280",0.0030360175,28
"chr1","feature","gene",1472781,1482037,".","+",".","ID=Mp1g01290;MapolyID=Mapoly0029s0118;Name=Mp1g01290","Mp1g01290",0.001035715,21
"chr1","feature","gene",1486131,1490596,".","+",".","ID=Mp1g01300;MapolyID=Mapoly0029s0117;Name=Mp1g01300","Mp1g01300",0.0011238576,12
"chr1","feature","gene",1513149,1516297,".","+",".","ID=Mp1g01320;MapolyID=Mapoly0029s0115;Name=Mp1g01320","Mp1g01320",0.00060715975,6
"chr1","feature","gene",1519688,1520709,".","-",".","ID=Mp1g01330;MapolyID=Mapoly0029s0114;Name=Mp1g01330","Mp1g01330",0.00204762,9
"chr1","feature","gene",1521250,1525082,".","-",".","ID=Mp1g01340;MapolyID=Mapoly0029s0113;Name=Mp1g01340","Mp1g01340",0.001190475,10
"chr1","feature","gene",1596944,1598577,".","-",".","ID=Mp1g01350;MapolyID=Mapoly0029s0112;Name=Mp1g01350","Mp1g01350",0.00250793666666667,18
"chr1","feature","gene",1605654,1617779,".","-",".","ID=Mp1g01360;MapolyID=Mapoly0029s0111;Name=Mp1g01360","Mp1g01360",0.00202577884615385,71
"chr1","feature","gene",1623248,1627519,".","+",".","ID=Mp1g01370;MapolyID=Mapoly0029s0110;Name=Mp1g01370","Mp1g01370",0.00554007,58
"chr1","feature","gene",1629925,1635402,".","-",".","ID=Mp1g01380;MapolyID=Mapoly0029s0109;Name=Mp1g01380","Mp1g01380",0.00524094714285714,74
"chr1","feature","gene",1635694,1648224,".","+",".","ID=Mp1g01390;MapolyID=Mapoly0029s0108;Name=Mp1g01390","Mp1g01390",0.00197637778571429,76
"chr1","feature","gene",1650728,1655278,".","-",".","ID=Mp1g01400;MapolyID=Mapoly0029s0107;Name=Mp1g01400","Mp1g01400",0.00231746216666667,39
"chr1","feature","gene",1666610,1671409,".","+",".","ID=Mp1g01410;MapolyID=Mapoly0029s0105;Name=Mp1g01410","Mp1g01410",0.0016429365,27
"chr1","feature","gene",1666965,1667455,".","-",".","ID=Mp1g01420;MapolyID=Mapoly0029s0106;Name=Mp1g01420","Mp1g01420",0.0008571445,5
"chr1","feature","gene",1679695,1682279,".","+",".","ID=Mp1g01430;MapolyID=Mapoly0029s0104;Name=Mp1g01430","Mp1g01430",0.0042142875,21
"chr1","feature","gene",1680818,1693118,".","-",".","ID=Mp1g01440;MapolyID=Mapoly0029s0103;Name=Mp1g01440","Mp1g01440",0.00173821708333333,51
"chr1","feature","gene",1697024,1702009,".","-",".","ID=Mp1g01450;MapolyID=Mapoly0029s0102;Name=Mp1g01450","Mp1g01450",0.00281078833333333,43
